News,Label,Cleaned Data
"['worri', 'covid19']",1,worri covid19
"['risk', 'develop', 'sever', 'ill']",1,risk develop sever ill
"['antibiot', 'effect', 'prevent', 'treat', 'covid19']",1,antibiot effect prevent treat covid19
"['ani', 'medicin', 'therapi', 'prevent', 'cure', 'covid19']",1,ani medicin therapi prevent cure covid19
"['vaccin', 'drug', 'treatment', 'covid19']",1,vaccin drug treatment covid19
"['covid19', 'sar']",1,covid19 sar
"['wear', 'mask', 'protect']",1,wear mask protect
"['put', 'use', 'take', 'dispos', 'mask']",1,put use take dispos mask
"['long', 'incub', 'period', 'covid19']",1,long incub period covid19
"['human', 'becom', 'infect', 'covid19', 'anim', 'sourc']",1,human becom infect covid19 anim sourc
"['catch', 'covid19', 'pet']",1,catch covid19 pet
"['long', 'doe', 'viru', 'surviv', 'surfac']",1,long doe viru surviv surfac
"['safe', 'receiv', 'packag', 'ani', 'area', 'covid19', 'ha', 'report']",1,safe receiv packag ani area covid19 ha report
['anyth'],1,anyth
"['sourc', 'coronaviru', 'caus', 'covid19', 'known']",1,sourc coronaviru caus covid19 known
"['first', 'human', 'sarscov2', 'infect', 'occur']",1,first human sarscov2 infect occur
"['covid19', 'spread', 'coin', 'banknot']",1,covid19 spread coin banknot
"['groceri', 'shop', 'safe', 'time', 'covid19']",1,groceri shop safe time covid19
"['wash', 'fruit', 'veget', 'time', 'covid19']",1,wash fruit veget time covid19
"['covid19', 'airborn']",1,covid19 airborn
"['contracept', 'famili', 'plan', 'safe', 'use', 'dure', 'covid19', 'pandem']",1,contracept famili plan safe use dure covid19 pandem
"['want', 'avoid', 'get', 'pregnant', 'dure', 'covid19', 'pandem']",1,want avoid get pregnant dure covid19 pandem
"['cant', 'access', 'contracept', 'method', 'choic', 'advis']",1,cant access contracept method choic advis
"['best', 'contracept', 'method', 'use', 'dure', 'covid19', 'pandem']",1,best contracept method use dure covid19 pandem
"['want', 'chang', 'contracept', 'method', 'thi', 'possibl']",1,want chang contracept method thi possibl
"['want', 'remov', 'replac', 'implant', 'iud', 'thi', 'dure', 'covid19', 'pandem']",1,want remov replac implant iud thi dure covid19 pandem
"['whi', 'provid', 'contracept', 'famili', 'plan', 'well', 'famili', 'plan', 'servic', 'inform', 'import', 'dure', 'covid19', 'pandem']",1,whi provid contracept famili plan well famili plan servic inform import dure covid19 pandem
"['polici', 'maker', 'make', 'sure', 'peopl', 'access', 'contracept', 'famili', 'plan', 'inform', 'servic']",1,polici maker make sure peopl access contracept famili plan inform servic
"['programm', 'manag', 'help', 'peopl', 'access', 'contracept', 'famili', 'plan', 'inform', 'servic']",1,programm manag help peopl access contracept famili plan inform servic
"['clean', 'soil', 'bed', 'towel', 'linen', 'patient', 'covid19']",1,clean soil bed towel linen patient covid19
"['recommend', 'regard', 'disinfect', 'vehicl', 'good', 'product', 'come', 'china', 'covid19', 'affect', 'countri']",1,recommend regard disinfect vehicl good product come china covid19 affect countri
"['person', 'protect', 'equip', 'ppe', 'use', 'healthcar', 'worker', 'hcw', 'perform', 'nasopharyng', 'np', 'oropharyng', 'op', 'swab', 'patient', 'suspect', 'confirm', 'covid19']",1,person protect equip ppe use healthcar worker hcw perform nasopharyng np oropharyng op swab patient suspect confirm covid19
"['blood', 'center', 'routin', 'screen', 'blood', 'product', 'covid19', 'viru']",1,blood center routin screen blood product covid19 viru
"['boot', 'imperm', 'apron', 'coveral', 'suit', 'requir', 'routin', 'person', 'protect', 'equip', 'pe', 'healthcar', 'worker', 'hcw', 'care', 'patient', 'suspect', 'confirm', '2019ncov', 'infect']",1,boot imperm apron coveral suit requir routin person protect equip pe healthcar worker hcw care patient suspect confirm 2019ncov infect
"['dispos', 'medic', 'face', 'mask', 'steril', 'reus']",1,dispos medic face mask steril reus
"['whi', 'doe', 'recommend', 'contact', 'droplet', 'precaut', 'routin', 'use', 'airborn', 'precaut', 'healthcar', 'worker', 'provid', 'care', 'patient', 'suspectedconfirm', '2019ncov', 'infect']",1,whi doe recommend contact droplet precaut routin use airborn precaut healthcar worker provid care patient suspectedconfirm 2019ncov infect
"['doe', 'recommend', 'routin', 'wear', 'mask', 'healthi', 'peopl', 'dure', '2019', 'ncov', 'outbreak']",1,doe recommend routin wear mask healthi peopl dure 2019 ncov outbreak
"['patient', 'suspect', 'confirm', 'ncov', 'infect', 'cohort', 'room']",1,patient suspect confirm ncov infect cohort room
"['patient', 'suspect', 'confirm', '2019ncov', 'need', 'hospit', 'mild', 'ill']",1,patient suspect confirm 2019ncov need hospit mild ill
"['special', 'referr', 'hospit', 'requir', 'patient', 'suspect', 'confirm', '2019ncov', 'infect', 'hospit', 'need']",1,special referr hospit requir patient suspect confirm 2019ncov infect hospit need
"['disinfect', 'recommend', 'environment', 'clean', 'healthcar', 'facil', 'home', 'hous', 'patient', 'suspect', 'confirm', '2019ncov', 'infect']",1,disinfect recommend environment clean healthcar facil home hous patient suspect confirm 2019ncov infect
"['long', '2019ncov', 'surviv', 'dri', 'surfac']",1,long 2019ncov surviv dri surfac
"['special', 'procedur', 'regard', 'wast', 'produc', 'patient', 'suspect', 'confirm', '2019ncov']",1,special procedur regard wast produc patient suspect confirm 2019ncov
"['special', 'procedur', 'manag', 'bodi', 'person', 'die', '2019ncov']",1,special procedur manag bodi person die 2019ncov
"['model', 'set', 'isol', 'ward', 'type', 'product', 'health', 'requir']",1,model set isol ward type product health requir
"['chlorin', 'solut', 'also', 'use']",1,chlorin solut also use
"['physic', 'activ']",1,physic activ
"['whi', 'need']",1,whi need
"['much', 'physic', 'activ', 'recommend']",1,much physic activ recommend
"['stay', 'safe', 'exercis', 'covid19']",1,stay safe exercis covid19
"['stay', 'activ', 'around', 'home']",1,stay activ around home
"['mani', 'malariaaffect', 'countri', 'report', 'case', 'covid19']",1,mani malariaaffect countri report case covid19
"['core', 'malaria', 'vector', 'control', 'intervent', 'maintain', 'view', 'rapid', 'global', 'spread', 'covid19']",1,core malaria vector control intervent maintain view rapid global spread covid19
"['whorecommend', 'prevent', 'therapi', 'maintain', 'subsaharan', 'africa']",1,whorecommend prevent therapi maintain subsaharan africa
"['ani', 'chang', 'guidanc', 'respect', 'malaria', 'diagnosi', 'treatment']",1,ani chang guidanc respect malaria diagnosi treatment
"['addit', 'special', 'measur', 'may', 'need', 'context', 'covid19']",1,addit special measur may need context covid19
"['whi', 'particularli', 'concern', 'spread', 'covid19', 'malariaaffect', 'area']",1,whi particularli concern spread covid19 malariaaffect area
"['key', 'consider', 'countri', 'work', 'elimin', 'malaria', 'prevent', 'reestablish', 'transmiss']",1,key consider countri work elimin malaria prevent reestablish transmiss
"['disrupt', 'global', 'suppli', 'key', 'malariarel', 'commod', 'result', 'covid19', 'pandem']",1,disrupt global suppli key malariarel commod result covid19 pandem
"['support', 'malariaaffect', 'countri', 'context', 'covid19']",1,support malariaaffect countri context covid19
"['posit', 'use', 'chloroquin', 'hydroxychloroquin', 'context', 'covid19', 'respons']",1,posit use chloroquin hydroxychloroquin context covid19 respons
"['peopl', 'live', 'hiv', 'increas', 'risk', 'infect', 'viru', 'caus', 'covid19']",1,peopl live hiv increas risk infect viru caus covid19
"['antiretrovir', 'use', 'treat', 'covid19']",1,antiretrovir use treat covid19
"['antiretrovir', 'use', 'prevent', 'covid19', 'infect']",1,antiretrovir use prevent covid19 infect
"['studi', 'treatment', 'prevent', 'covid19', 'antiretrovir', 'plan']",1,studi treatment prevent covid19 antiretrovir plan
"['posit', 'use', 'antiretrovir', 'treatment', 'covid19']",1,posit use antiretrovir treatment covid19
"['posit', 'use', 'corticosteroid', 'treatment', 'covid19']",1,posit use corticosteroid treatment covid19
"['countri', 'use', 'antiretrovir', 'covid19', 'concern', 'treatment', 'shortag', 'peopl', 'live', 'hiv']",1,countri use antiretrovir covid19 concern treatment shortag peopl live hiv
"['ensur', 'human', 'right', 'reduc', 'stigma', 'discrimin']",1,ensur human right reduc stigma discrimin
"['programm', 'assur', 'continu', 'access', 'hiv', 'servic']",1,programm assur continu access hiv servic
"['role', 'multimonth', 'prescript', 'dispens', 'antiretrovir', 'medicin']",1,role multimonth prescript dispens antiretrovir medicin
"['pregnant', 'postpartum', 'women', 'live', 'hiv', 'transmit', 'covid19', 'viru', 'unborn', 'child', 'infant']",1,pregnant postpartum women live hiv transmit covid19 viru unborn child infant
"['pregnant', 'breastfeed', 'women', 'live', 'hiv', 'covid19', 'newborn', 'manag', 'differ']",1,pregnant breastfeed women live hiv covid19 newborn manag differ
"['pregnant', 'women', 'higher', 'risk', 'covid19']",1,pregnant women higher risk covid19
"['im', 'pregnant', 'protect', 'covid19']",1,im pregnant protect covid19
"['pregnant', 'women', 'test', 'covid19']",1,pregnant women test covid19
"['covid19', 'pass', 'woman', 'unborn', 'newborn', 'babi']",1,covid19 pass woman unborn newborn babi
"['care', 'avail', 'dure', 'pregnanc', 'childbirth']",1,care avail dure pregnanc childbirth
"['pregnant', 'women', 'suspect', 'confirm', 'covid19', 'need', 'give', 'birth', 'caesarean', 'section']",1,pregnant women suspect confirm covid19 need give birth caesarean section
"['women', 'covid19', 'breastfe']",1,women covid19 breastfe
"['touch', 'hold', 'newborn', 'babi', 'covid19']",1,touch hold newborn babi covid19
"['covid19', 'unwel', 'breastfe', 'babi', 'directli']",1,covid19 unwel breastfe babi directli
"['covid19', 'influenza', 'virus', 'similar']",1,covid19 influenza virus similar
"['covid19', 'influenza', 'virus', 'differ']",1,covid19 influenza virus differ
"['medic', 'intervent', 'avail', 'covid19', 'influenza', 'virus']",1,medic intervent avail covid19 influenza virus
"['wash', 'fruit', 'veget', 'time', 'covid19']",1,wash fruit veget time covid19
"['groceri', 'shop', 'safe', 'time', 'covid19']",1,groceri shop safe time covid19
"['covid19', 'spread', 'coin', 'banknot']",1,covid19 spread coin banknot
"['protect', 'coronaviru']",1,protect coronaviru
"['could', 'ibuprofen', 'worsen', 'diseas', 'peopl', 'covid19']",1,could ibuprofen worsen diseas peopl covid19
"['wear', 'rubber', 'glove', 'public', 'effect', 'prevent', 'new', 'coronaviru', 'infect']",1,wear rubber glove public effect prevent new coronaviru infect
"['greet', 'anoth', 'person', 'avoid', 'catch', 'new', 'coronaviru']",1,greet anoth person avoid catch new coronaviru
"['avoid', 'shake', 'hand', 'becaus', 'new', 'coronaviru']",1,avoid shake hand becaus new coronaviru
"['covid19', 'influenza', 'virus', 'differ']",1,covid19 influenza virus differ
"['covid19', 'influenza', 'virus', 'similar']",1,covid19 influenza virus similar
"['protect', 'covid19']",1,protect covid19
"['wear', 'mask', 'protect', '2019ncov']",1,wear mask protect 2019ncov
"['long', 'doe', '2019ncov', 'surviv', 'surfac']",1,long doe 2019ncov surviv surfac
"['2019ncov', 'caught', 'person', 'present', 'symptom']",1,2019ncov caught person present symptom
"['2019ncov', 'transmit', 'person', 'person']",1,2019ncov transmit person person
"['doe', '2019ncov', 'spread']",1,doe 2019ncov spread
"['risk', 'develop', 'sever', 'symptom', '2019ncov']",1,risk develop sever symptom 2019ncov
"['catch', '2019ncov']",1,catch 2019ncov
"['danger', '2019ncov']",1,danger 2019ncov
"['regularli', 'rins', 'nose', 'salin', 'solut', 'help', 'prevent', 'infect', '2019ncov']",1,regularli rins nose salin solut help prevent infect 2019ncov
"['gargl', 'mouthwash', 'protect', 'infect', '2019ncov']",1,gargl mouthwash protect infect 2019ncov
"['eat', 'garlic', 'help', 'prevent', 'infect', '2019ncov']",1,eat garlic help prevent infect 2019ncov
"['safe', 'receiv', 'letter', 'packag', 'china']",1,safe receiv letter packag china
"['vaccin', 'pneumonia', 'protect', '2019ncov']",1,vaccin pneumonia protect 2019ncov
"['peopl', 'appoint', 'expert', 'advisori', 'panel', 'intern', 'health', 'regul', 'emerg', 'committe']",1,peopl appoint expert advisori panel intern health regul emerg committe
"['member', 'intern', 'health', 'regul', 'emerg', 'committe', 'chosen']",1,member intern health regul emerg committe chosen
"['member', 'advis', 'intern', 'health', 'regul', 'emerg', 'committe', 'new', 'coronaviru', '2019ncov']",1,member advis intern health regul emerg committe new coronaviru 2019ncov
"['member', 'intern', 'health', 'regul', 'emerg', 'committe']",1,member intern health regul emerg committe
"['doe', 'intern', 'health', 'regul', 'emerg', 'committe', 'work']",1,doe intern health regul emerg committe work
"['intern', 'health', 'regul']",1,intern health regul
"['ani', 'specif', 'medicin', 'prevent', 'treat', 'new', 'coronaviru', '2019ncov']",1,ani specif medicin prevent treat new coronaviru 2019ncov
"['pet', 'home', 'spread', 'new', 'coronaviru', '2019ncov']",1,pet home spread new coronaviru 2019ncov
"['doe', 'new', 'coronaviru', '2019nc0v', 'affect', 'older', 'peopl', 'younger', 'peopl', 'also', 'suscept']",1,doe new coronaviru 2019nc0v affect older peopl younger peopl also suscept
"['antibiot', 'effect', 'prevent', 'treat', 'new', 'coronaviru', '2019ncov']",1,antibiot effect prevent treat new coronaviru 2019ncov
"['treatment', 'novel', 'coronaviru', 'infect']",1,treatment novel coronaviru infect
"['symptom', 'coronaviru', 'infect']",1,symptom coronaviru infect
"['novel', 'coronaviru']",1,novel coronaviru
['coronaviru'],1,coronaviru
"['current', 'drug', 'licens', 'treatment', 'prevent', 'covid19']",1,current drug licens treatment prevent covid19
"['ad', 'pepper', 'soup', 'meal', 'doe', 'prevent', 'cure', 'covid19']",1,ad pepper soup meal doe prevent cure covid19
"['covid19', 'transmit', 'housefli']",1,covid19 transmit housefli
"['spray', 'introduc', 'bleach', 'anoth', 'disinfect', 'bodi', 'protect', 'covid19', 'danger']",1,spray introduc bleach anoth disinfect bodi protect covid19 danger
"['drink', 'methanol', 'ethanol', 'bleach', 'doe', 'prevent', 'cure', 'covid19', 'extrem', 'danger']",1,drink methanol ethanol bleach doe prevent cure covid19 extrem danger
"['5g', 'mobil', 'network', 'spread', 'covid19']",1,5g mobil network spread covid19
"['expos', 'sun', 'temperatur', 'higher', '25c', 'degre', 'doe', 'prevent', 'coronaviru', 'diseas', 'covid19']",1,expos sun temperatur higher 25c degre doe prevent coronaviru diseas covid19
"['recov', 'coronaviru', 'diseas', 'covid19', 'catch', 'new', 'coronaviru', 'doe', 'mean', 'life']",1,recov coronaviru diseas covid19 catch new coronaviru doe mean life
"['abl', 'hold', 'breath', '10', 'second', 'without', 'cough', 'feel', 'discomfort', 'doe', 'mean', 'free', 'coronaviru', 'diseas', 'covid19', 'ani', 'lung', 'diseas']",1,abl hold breath 10 second without cough feel discomfort doe mean free coronaviru diseas covid19 ani lung diseas
"['drink', 'alcohol', 'doe', 'protect', 'covid19', 'danger']",1,drink alcohol doe protect covid19 danger
"['covid19', 'viru', 'transmit', 'area', 'hot', 'humid', 'climat']",1,covid19 viru transmit area hot humid climat
"['cold', 'weather', 'snow', 'kill', 'new', 'coronaviru']",1,cold weather snow kill new coronaviru
"['take', 'hot', 'bath', 'doe', 'prevent', 'new', 'coronaviru', 'diseas']",1,take hot bath doe prevent new coronaviru diseas
"['new', 'coronaviru', 'transmit', 'mosquito', 'bite']",1,new coronaviru transmit mosquito bite
"['hand', 'dryer', 'effect', 'kill', 'new', 'coronaviru']",1,hand dryer effect kill new coronaviru
"['ultraviolet', 'uv', 'lamp', 'use', 'disinfect', 'hand', 'area', 'skin']",1,ultraviolet uv lamp use disinfect hand area skin
"['effect', 'thermal', 'scanner', 'detect', 'peopl', 'infect', 'new', 'coronaviru']",1,effect thermal scanner detect peopl infect new coronaviru
"['vaccin', 'pneumonia', 'protect', 'new', 'coronaviru']",1,vaccin pneumonia protect new coronaviru
"['regularli', 'rins', 'nose', 'salin', 'help', 'prevent', 'infect', 'new', 'coronaviru']",1,regularli rins nose salin help prevent infect new coronaviru
"['eat', 'garlic', 'help', 'prevent', 'infect', 'new', 'coronaviru']",1,eat garlic help prevent infect new coronaviru
"['doe', 'new', 'coronaviru', 'affect', 'older', 'peopl', 'younger', 'peopl', 'also', 'suscept']",1,doe new coronaviru affect older peopl younger peopl also suscept
"['antibiot', 'effect', 'prevent', 'treat', 'new', 'coronaviru']",1,antibiot effect prevent treat new coronaviru
"['ani', 'specif', 'medicin', 'prevent', 'treat', 'new', 'coronaviru']",1,ani specif medicin prevent treat new coronaviru
"['new', 'coronaviru', 'diseas', 'outbreak', 'first', 'identifi', 'china', 'ha', 'becom', 'pandem', 'stay', 'date', 'latest', 'updat', 'covid19']",1,new coronaviru diseas outbreak first identifi china ha becom pandem stay date latest updat covid19
"['new', 'research', 'found', 'school', 'age', 'children', '2010', 'despit', 'time', 'spent', 'smartphon', 'social', 'media', 'social', 'skill', 'age', '1998']",1,new research found school age children 2010 despit time spent smartphon social media social skill age 1998
"['scientist', 'around', 'world', 'work', 'number', 'vaccin', 'treatment', 'covid19']",1,scientist around world work number vaccin treatment covid19
"['know', 'far', 'covid19', 'affect', 'differ', 'system', 'bodi']",1,know far covid19 affect differ system bodi
"['approv', 'treatment', 'specif', 'covid19', 'vaccin', 'viru', 'caus', 'new', 'report', 'ha', 'rais', 'hope', 'treatment', 'call', 'remdesivir', 'horizon', 'expert', 'caution', 'read', 'much', 'thi']",1,approv treatment specif covid19 vaccin viru caus new report ha rais hope treatment call remdesivir horizon expert caution read much thi
"['social', 'media', 'post', 'reveal', 'psycholog', 'emot', 'handl', 'situat', 'like', 'covid19', 'pandem', 'without', 'us', 'realiz']",1,social media post reveal psycholog emot handl situat like covid19 pandem without us realiz
"['expert', 'say', 'rural', 'area', 'older', 'popul', 'less', 'healthi', 'fewer', 'medic', 'facil', 'urban', 'suburban', 'region']",1,expert say rural area older popul less healthi fewer medic facil urban suburban region
"['tweet', 'presid', 'trump', 'heighten', 'interest', 'antimalari', 'drug', 'possibl', 'treatment', 'covid19', 'expert', 'say', 'research', 'need', 'peopl', 'take', 'thi', 'drug']",1,tweet presid trump heighten interest antimalari drug possibl treatment covid19 expert say research need peopl take thi drug
"['expert', 'say', 'studi', 'shown', 'ultraviolet', 'radiat', 'kill', 'microorgan', 'sanction', 'covid19', 'therapi', 'exposur', 'danger', 'health']",1,expert say studi shown ultraviolet radiat kill microorgan sanction covid19 therapi exposur danger health
"['even', 'peopl', 'offici', 'recov', 'feel', '100', 'percent', 'back', 'normal', 'may', 'long', 'process']",1,even peopl offici recov feel 100 percent back normal may long process
"['expert', 'say', 'food', 'thermomet', 'color', 'meat', 'insid', 'chicken', 'best', 'way', 'make', 'sure', 'cook', 'chicken', 'safe', 'eat']",1,expert say food thermomet color meat insid chicken best way make sure cook chicken safe eat
"['expert', 'say', 'biolog', 'behavior', 'among', 'reason', 'men', 'women', 'die', 'covid19']",1,expert say biolog behavior among reason men women die covid19
"['readili', 'avail', 'effect', 'vaccin', 'go', 'pull', 'us', 'pandem', 'sever', 'month', 'reach', 'point', 'know', 'ha', 'ha', 'respiratori', 'infect', 'thought', 'key', 'reopen', 'economi']",1,readili avail effect vaccin go pull us pandem sever month reach point know ha ha respiratori infect thought key reopen economi
"['kid', 'process', 'stress', 'anxieti', 'differ', 'depend', 'old', 'parent', 'help', 'kid', 'everi', 'age']",1,kid process stress anxieti differ depend old parent help kid everi age
"['research', 'say', 'peopl', 'covid19', 'report', 'lose', 'sens', 'smell', 'onli', 'symptom', 'peopl', 'look']",1,research say peopl covid19 report lose sens smell onli symptom peopl look
"['expert', 'say', 'cancer', 'survivor', 'well', 'spous', 'partner', 'experi', 'job', 'lock', 'continu', 'workplac', 'maintain', 'current', 'health', 'insur']",1,expert say cancer survivor well spous partner experi job lock continu workplac maintain current health insur
"['fda', 'encourag', 'peopl', 'recov', 'confirm', 'infect', 'new', 'coronaviru', 'consid', 'donat', 'plasma', 'inject', 'peopl', 'sever', 'form', 'infect']",1,fda encourag peopl recov confirm infect new coronaviru consid donat plasma inject peopl sever form infect
"['expert', 'say', 'parent', 'practic', 'self', 'care', 'first', 'emot', 'equip', 'help', 'children', 'deal', 'anxieti', 'covid19']",1,expert say parent practic self care first emot equip help children deal anxieti covid19
"['new', 'report', 'indic', 'uptick', 'poison', 'clearli', 'associ', 'spread', 'mount', 'worri', 'covid19']",1,new report indic uptick poison clearli associ spread mount worri covid19
"['peopl', 'covid19', 'present', 'less', 'typic', 'symptom', 'includ', 'nausea', 'diarrhea', 'delirium', 'chickenpox', 'like', 'lesion']",1,peopl covid19 present less typic symptom includ nausea diarrhea delirium chickenpox like lesion
"['research', 'rice', 'univers', 'seek', 'volunt', 'crowdsourc', 'studi', 'help', 'better', 'understand', 'impact', 'pandem', 'nt', 'even', 'leav', 'couch', 'get', 'involv']",1,research rice univers seek volunt crowdsourc studi help better understand impact pandem nt even leav couch get involv
"['cdc', 'ha', 'refer', 'larg', 'gather', 'potenti', 'super', 'spread', 'event', 'could', 'possibl', 'undo', 'progress', 'made', 'battl', 'covid19']",1,cdc ha refer larg gather potenti super spread event could possibl undo progress made battl covid19
"['result', 'larger', 'well', 'design', 'trial', 'current', 'underway', 'hydroxychloroquin', 'chloroquin', 'onli', 'use', 'close', 'supervis', 'physician']",1,result larger well design trial current underway hydroxychloroquin chloroquin onli use close supervis physician
"['expert', 'say', 'nurs', 'facil', 'nt', 'realli', 'set', 'deal', 'pandem', 'covid19']",1,expert say nurs facil nt realli set deal pandem covid19
"['expert', 'say', 'carrier', 'symptom', 'allow', 'viru', 'spread', 'quickli', 'easili', 'one', 'reason', 'face', 'mask', 'becom', 'import']",1,expert say carrier symptom allow viru spread quickli easili one reason face mask becom import
"['fatigu', 'bodi', 'ach', 'symptom', 'flu', 'new', 'coronaviru', 'flu', 'usual', 'doe', 'nt', 'caus', 'short', 'breath']",1,fatigu bodi ach symptom flu new coronaviru flu usual doe nt caus short breath
"['earli', 'research', 'california', 'find', '85', 'time', 'peopl', 'santa', 'clara', 'counti', '55', 'time', 'peopl', 'lo', 'angel', 'may', 'covid19', 'previous', 'estim']",1,earli research california find 85 time peopl santa clara counti 55 time peopl lo angel may covid19 previous estim
"['new', 'research', 'ha', 'found', 'peopl', 'diabet', 'poorli', 'manag', 'hyperglycemia', 'hospit', 'covid19', 'death', 'rate', 'longer', 'length', 'hospit', 'stay', 'four', 'time', 'higher', 'peopl', 'without', 'condit']",1,new research ha found peopl diabet poorli manag hyperglycemia hospit covid19 death rate longer length hospit stay four time higher peopl without condit
"['expert', 'say', 'person', 'mild', 'symptom', 'quickli', 'becom', 'serious', 'ill', 'need', 'hospit']",1,expert say person mild symptom quickli becom serious ill need hospit
"['expert', 'say', 'new', 'parent', 'need', 'share', 'load', 'child', 'rais', 'housework', 'also', 'seek', 'virtual', 'assist', 'famili', 'friend']",1,expert say new parent need share load child rais housework also seek virtual assist famili friend
"['shelter', 'place', 'autist', 'peopl', 'may', 'find', 'harder', 'daili', 'task', 'face', 'stress', 'normal', 'becaus', 'daili', 'routin', 'reli', 'ha', 'disrupt']",1,shelter place autist peopl may find harder daili task face stress normal becaus daili routin reli ha disrupt
"['world', 'health', 'organ', 'us', 'surgeon', 'gener', 'warn', 'peopl', 'avoid', 'drink', 'much', 'alcohol', 'dure', 'covid19', 'pandem', 'alcohol', 'rang', 'harm', 'effect', 'bodi', 'diminish', 'person', 'immun', 'respons', 'put', 'risk', 'covid19']",1,world health organ us surgeon gener warn peopl avoid drink much alcohol dure covid19 pandem alcohol rang harm effect bodi diminish person immun respons put risk covid19
"['nurs', 'share', 'daili', 'life', 'like', 'front', 'line', 'battl', 'covid19']",1,nurs share daili life like front line battl covid19
"['covid19', 'sever', 'ill', 'especi', 'peopl', '60', 'year', 'age', 'chronic', 'diseas', 'like', 'diabet', 'cardiovascular', 'issu']",1,covid19 sever ill especi peopl 60 year age chronic diseas like diabet cardiovascular issu
"['regardless', 'state', 'choos', 'reopen', 'mani', 'peopl', 'concern', 'affect', 'health']",1,regardless state choos reopen mani peopl concern affect health
"['doctor', 'new', 'york', 'citi', 'say', 'rate', 'kidney', 'injuri', 'among', 'covid19', 'patient', 'put', 'strain', 'dialysi', 'machin', 'treatment', 'equip']",1,doctor new york citi say rate kidney injuri among covid19 patient put strain dialysi machin treatment equip
"['anesthesiologist', 'perform', 'intub', 'need', 'put', 'covid19', 'patient', 'ventil', 'task', 'expos', 'potenti', 'infect', 'also', 'emot', 'compon', 'talk', 'patient', 'whose', 'famili', 'nt', 'allow', 'visit']",1,anesthesiologist perform intub need put covid19 patient ventil task expos potenti infect also emot compon talk patient whose famili nt allow visit
"['expert', 'say', 'phone', 'call', 'video', 'chat', 'best', 'way', 'commun', 'famili', 'member', 'hospit', 'covid19', 'design', 'one', 'famili', 'member', 'talk', 'medic', 'personnel', 'also', 'good', 'strategi']",1,expert say phone call video chat best way commun famili member hospit covid19 design one famili member talk medic personnel also good strategi
"['time', 'day', 'shop', 'much', 'item', 'buy', 'number', 'simpl', 'thing', 'make', 'groceri', 'shop', 'safer', 'everyon', 'dure', 'pandem']",1,time day shop much item buy number simpl thing make groceri shop safer everyon dure pandem
"['new', 'studi', 'find', 'physic', 'distanc', 'may', 'necessari', 'least', 'form', '2022']",1,new studi find physic distanc may necessari least form 2022
"['south', 'korea', 'recent', 'report', 'signific', 'number', 'covid19', 'patient', 'test', 'posit', 'test', 'neg', 'onli', 'test', 'posit', 'experi', 'symptom', 'like', 'fever', 'cough', 'sore', 'throat', 'fatigu', 'south', 'korean', 'health', 'offici', 'suspect', 'patient', 'experienc', 'viral', 'reactiv', 'health', 'expert', 'unit', 'state', 'nt', 'think', 'reactiv', 'covid19', 'like', 'sinc', 'never', 'observ', 'viral', 'reactiv', 'coronavirus']",1,south korea recent report signific number covid19 patient test posit test neg onli test posit experi symptom like fever cough sore throat fatigu south korean health offici suspect patient experienc viral reactiv health expert unit state nt think reactiv covid19 like sinc never observ viral reactiv coronavirus
